143	Romania	19,364,557	230,170	84
144	Russia	145,872,256	16,376,870	9
145	Rwanda	12,626,950	24,670	512
146	Saint Kitts and Nevis	52,823	260	203
147	Saint Lucia	182,790	610	300
148	Saint Vincent and the Grenadines	110,589	390	284
149	Samoa	197,097	2,830	70
150	San Marino	33,860	60	564
151	Sao Tome and Principe	215,056	960	224
152	Saudi Arabia	34,268,528	2,149,690	16
153	Senegal	16,296,364	192,530	85
154	Serbia	8,772,235	87,460	100
155	Seychelles	97,739	460	212
156	Sierra Leone	7,813,215	72,180	108
157	Singapore	5,804,337	700	8,292
158	Slovakia	5,457,013	48,088	113
159	Slovenia	2,078,654	20,140	103
160	Solomon Islands	669,823	27,990	24
161	Somalia	15,442,905	627,340	25
162	South Africa	58,558,270	1,213,090	48
163	South Korea	51,225,308	97,230	527
164	South Sudan	11,062,113	610,952	18
165	Spain	46,736,776	498,800	94
166	Sri Lanka	21,323,733	62,710	340
167	Sudan	42,813,238	1,765,048	24
168	Suriname	581,372	156,000	4
169	Sweden	10,036,379	410,340	24
170	Switzerland	8,591,365	39,516	217
171	Syria	17,070,135	183,630	93
172	Tajikistan	9,321,018	139,960	67
173	Tanzania	58,005,463	885,800	65
174	Thailand	69,625,582	510,890	136
175	Timor-Leste	1,293,119	14,870	87
176	Togo	8,082,366	54,390	149
177	Tonga	104,494	720	145
178	Trinidad and Tobago	1,394,973	5,130	272
179	Tunisia	11,694,719	155,360	75
180	Turkey	83,429,615	769,630	108
181	Turkmenistan	5,942,089	469,930	13
182	Tuvalu	11,646	30	388
183	Uganda	44,269,594	199,810	222
184	Ukraine	43,993,638	579,320	76
185	United Arab Emirates	9,770,529	83,600	117
186	United Kingdom	67,530,172	241,930	279
187	United States of America	329,064,917	9,147,420	36
188	Uruguay	3,461,734	175,020	20
189	Uzbekistan	32,981,716	425,400	78
190	Vanuatu	299,882	12,190	25
191	Venezuela	28,515,829	882,050	32
192	Vietnam	96,462,106	310,070	311
193	Yemen	29,161,922	527,970	55
194	Zambia	17,861,030	743,390	24
195	Zimbabwe	14,645,468	386,850	38
